TLIST(Q1),Quarter,Type of Offence,VALUE
20032,2003Q2,Harassment and related offences (033),243
20032,2003Q2,"Assault causing harm, poisoning (034)",1010
20032,2003Q2,Other assault (035),2108
20032,2003Q2,Dangerous or negligent acts (04),5155
20032,2003Q2,Dangerous driving causing serious bodily harm (0411),4
20032,2003Q2,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2859
20032,2003Q2,Driving/in charge of a vehicle while over legal alcohol limit (0412),2843
20032,2003Q2,Driving/in charge of a vehicle under the influence of drugs (0413),16
20032,2003Q2,Dangerous/careless driving and motorway offences (0414),1077
20032,2003Q2,Speeding (0415),1107
20032,2003Q2,Endangerment with potential for serious harm/death (0421),12
20032,2003Q2,"Abandoning a child, child neglect and cruelty (0422)",64
20032,2003Q2,Unseaworthy/dangerous use of boat or ship (0423),0
20032,2003Q2,False alarm/interference with aircraft or air transport facilities (0424),2
20032,2003Q2,Endangering traffic offences (0425),30
20032,2003Q2,Kidnapping and related offences (05),20
20032,2003Q2,False imprisonment (0511),17
20032,2003Q2,Abduction of person under 16 years of age (0512),3
20032,2003Q2,Human trafficking offences (0513),0
20032,2003Q2,"Robbery, extortion and hijacking offences (06)",698
20032,2003Q2,Robbery of an establishment or institution (0611),236
20032,2003Q2,Robbery of cash or goods in transit (0612),18
20032,2003Q2,Robbery from the person (0613),429
20032,2003Q2,Blackmail or extortion (0621),3
20032,2003Q2,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",12
20032,2003Q2,Burglary and related offences (07),6215
20032,2003Q2,Aggravated burglary (0711),68
20032,2003Q2,Burglary (not aggravated) (0712),6089
20032,2003Q2,"Possession of an article (with intent to burgle, steal, demand) (0713)",58
20032,2003Q2,Theft and related offences (08),18572
20032,2003Q2,Theft/taking of vehicle and related offences (081),3311
20032,2003Q2,Theft from person (0821),1687
20032,2003Q2,Theft from shop (0822),3867
20032,2003Q2,"Other thefts, handling stolen property (084)",9707
20032,2003Q2,"Fraud, deception and related offences (09)",691
20032,2003Q2,Controlled drug offences (10),2481
20032,2003Q2,Importation of drugs (1011),9
20032,2003Q2,Cultivation or manufacture of drugs (1012),14
20032,2003Q2,Possession of drugs for sale or supply (1021),676
20032,2003Q2,Possession of drugs for personal use (1022),1673
20032,2003Q2,Other drug offences (103),109
20032,2003Q2,Weapons and explosives offences (11),455
20032,2003Q2,"Explosives, chemical weapons offences (111)",6
20032,2003Q2,Discharging a firearm (1121),45
20032,2003Q2,Possession of a firearm (1122),76
20032,2003Q2,Offensive weapons offences (n.e.c.) (113),328
20032,2003Q2,Fireworks offences (114),0
20032,2003Q2,Damage to property and to the environment  offences (12),8698
20032,2003Q2,Arson (1211),359
20032,2003Q2,Criminal damage (not arson) (1212),8317
20032,2003Q2,Litter offences (1221),22
20032,2003Q2,Public order and other social code offences (13),11162
20032,2003Q2,Disorderly conduct (131),9232
20032,2003Q2,Trespass offences (132),358
20032,2003Q2,Liquor licensing offences (133),1111
20032,2003Q2,Prostitution offences (134),60
20032,2003Q2,"Regulated betting/money, collection/trading offences (135)",67
20032,2003Q2,Social code offences (n.e.c.) (136),334
20032,2003Q2,Road and traffic offences (14),11328
20032,2003Q2,"Driving licence-failure to have, produce, etc. (1411)",303
20032,2003Q2,"Insurance-failure to have, produce, display, etc. (1412)",4013
20032,2003Q2,Vehicle tax/registration offences (142),968
20032,2003Q2,Roadworthiness/regulatory offences (143),186
20032,2003Q2,Obstruction under Road Traffic Acts (1432),31
20032,2003Q2,Other road offences (1433),5498
20032,2003Q2,Road transport - carriage of goods offences (1441),207
20032,2003Q2,Public service vehicle offences (1442),122
20032,2003Q2,Light rail offences (Luas) (1443),0
20032,2003Q2,"Offences against government, justice procedures and organisation of crime (15)",1623
20032,2003Q2,Offences against government and its agents (151),49
20032,2003Q2,Organisation of crime and conspiracy to commit crime (152),2
20032,2003Q2,Perverting the course of justice (153),59
20032,2003Q2,"Offences while in custody, breach of court orders (157)",1513
20032,2003Q2,Offences not elsewhere classified (16),434
20033,2003Q3,Homicide & related offences (01),29
20033,2003Q3,Murder (0111),10
20033,2003Q3,Manslaughter (0112),4
20033,2003Q3,Infanticide (0113),0
20033,2003Q3,Dangerous driving leading to death (012),15
20033,2003Q3,Sexual offences (02),339
20033,2003Q3,Rape of a male or female (0211),70
20033,2003Q3,Defilement of a boy or girl less than 17 years old (0212),21
20033,2003Q3,Sexual offence involving mentally impaired person (0213),6
20033,2003Q3,Aggravated sexual assault (0214),4
20033,2003Q3,Sexual assault (not aggravated) (0215),222
20033,2003Q3,Other sexual offences (022),16
20033,2003Q3,"Attempts/threats to murder, assaults, harassments and related offences (03)",3453
20033,2003Q3,Murder-attempt (0311),2
20033,2003Q3,Threat to kill or cause serious harm  (0313 ),16
20033,2003Q3,Harassment and related offences (033),228
20033,2003Q3,"Assault causing harm, poisoning (034)",952
20033,2003Q3,Other assault (035),2255
20033,2003Q3,Dangerous or negligent acts (04),5196
20033,2003Q3,Dangerous driving causing serious bodily harm (0411),9
20033,2003Q3,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2928
20033,2003Q3,Driving/in charge of a vehicle while over legal alcohol limit (0412),2908
20033,2003Q3,Driving/in charge of a vehicle under the influence of drugs (0413),20
