TLIST(Q1),Quarter,Type of Offence,VALUE
20093,2009Q3,False imprisonment (0511),20
20093,2009Q3,Abduction of person under 16 years of age (0512),5
20093,2009Q3,Human trafficking offences (0513),15
20093,2009Q3,"Robbery, extortion and hijacking offences (06)",597
20093,2009Q3,Robbery of an establishment or institution (0611),197
20093,2009Q3,Robbery of cash or goods in transit (0612),6
20093,2009Q3,Robbery from the person (0613),357
20093,2009Q3,Blackmail or extortion (0621),5
20093,2009Q3,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",32
20093,2009Q3,Burglary and related offences (07),7361
20093,2009Q3,Aggravated burglary (0711),90
20093,2009Q3,Burglary (not aggravated) (0712),7156
20093,2009Q3,"Possession of an article (with intent to burgle, steal, demand) (0713)",115
20093,2009Q3,Theft and related offences (08),19918
20093,2009Q3,Theft/taking of vehicle and related offences (081),3290
20093,2009Q3,Theft from person (0821),638
20093,2009Q3,Theft from shop (0822),5121
20093,2009Q3,"Other thefts, handling stolen property (084)",10869
20093,2009Q3,"Fraud, deception and related offences (09)",1308
20093,2009Q3,Controlled drug offences (10),5956
20093,2009Q3,Importation of drugs (1011),9
20093,2009Q3,Cultivation or manufacture of drugs (1012),81
20093,2009Q3,Possession of drugs for sale or supply (1021),1059
20093,2009Q3,Possession of drugs for personal use (1022),4597
20093,2009Q3,Other drug offences (103),210
20093,2009Q3,Weapons and explosives offences (11),1025
20093,2009Q3,"Explosives, chemical weapons offences (111)",15
20093,2009Q3,Discharging a firearm (1121),59
20093,2009Q3,Possession of a firearm (1122),109
20093,2009Q3,Offensive weapons offences (n.e.c.) (113),815
20093,2009Q3,Fireworks offences (114),27
20093,2009Q3,Damage to property and to the environment  offences (12),10529
20093,2009Q3,Arson (1211),784
20093,2009Q3,Criminal damage (not arson) (1212),9688
20093,2009Q3,Litter offences (1221),57
20093,2009Q3,Public order and other social code offences (13),14786
20093,2009Q3,Disorderly conduct (131),12772
20093,2009Q3,Trespass offences (132),994
20093,2009Q3,Liquor licensing offences (133),808
20093,2009Q3,Prostitution offences (134),18
20093,2009Q3,"Regulated betting/money, collection/trading offences (135)",132
20093,2009Q3,Social code offences (n.e.c.) (136),62
20093,2009Q3,Road and traffic offences (14),37004
20093,2009Q3,"Driving licence-failure to have, produce, etc. (1411)",1666
20093,2009Q3,"Insurance-failure to have, produce, display, etc. (1412)",4676
20093,2009Q3,Vehicle tax/registration offences (142),6331
20093,2009Q3,Roadworthiness/regulatory offences (143),577
20093,2009Q3,Obstruction under Road Traffic Acts (1432),40
20093,2009Q3,Other road offences (1433),22112
20093,2009Q3,Road transport - carriage of goods offences (1441),1127
20093,2009Q3,Public service vehicle offences (1442),474
20093,2009Q3,Light rail offences (Luas) (1443),1
20093,2009Q3,"Offences against government, justice procedures and organisation of crime (15)",2805
20093,2009Q3,Offences against government and its agents (151),134
20093,2009Q3,Organisation of crime and conspiracy to commit crime (152),0
20093,2009Q3,Perverting the course of justice (153),41
20093,2009Q3,"Offences while in custody, breach of court orders (157)",2630
20093,2009Q3,Offences not elsewhere classified (16),842
20094,2009Q4,Homicide & related offences (01),28
20094,2009Q4,Murder (0111),12
20094,2009Q4,Manslaughter (0112),5
20094,2009Q4,Infanticide (0113),0
20094,2009Q4,Dangerous driving leading to death (012),11
20094,2009Q4,Sexual offences (02),329
20094,2009Q4,Rape of a male or female (0211),69
20094,2009Q4,Defilement of a boy or girl less than 17 years old (0212),14
20094,2009Q4,Sexual offence involving mentally impaired person (0213),2
20094,2009Q4,Aggravated sexual assault (0214),2
20094,2009Q4,Sexual assault (not aggravated) (0215),211
20094,2009Q4,Other sexual offences (022),31
20094,2009Q4,"Attempts/threats to murder, assaults, harassments and related offences (03)",4451
20094,2009Q4,Murder-attempt (0311),1
20094,2009Q4,Threat to kill or cause serious harm  (0313 ),64
20094,2009Q4,Harassment and related offences (033),653
20094,2009Q4,"Assault causing harm, poisoning (034)",877
20094,2009Q4,Other assault (035),2856
20094,2009Q4,Dangerous or negligent acts (04),11166
20094,2009Q4,Dangerous driving causing serious bodily harm (0411),1
20094,2009Q4,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",3032
20094,2009Q4,Driving/in charge of a vehicle while over legal alcohol limit (0412),2876
20094,2009Q4,Driving/in charge of a vehicle under the influence of drugs (0413),156
20094,2009Q4,Dangerous/careless driving and motorway offences (0414),1414
20094,2009Q4,Speeding (0415),6534
20094,2009Q4,Endangerment with potential for serious harm/death (0421),12
20094,2009Q4,"Abandoning a child, child neglect and cruelty (0422)",101
20094,2009Q4,Unseaworthy/dangerous use of boat or ship (0423),0
20094,2009Q4,False alarm/interference with aircraft or air transport facilities (0424),2
20094,2009Q4,Endangering traffic offences (0425),70
20094,2009Q4,Kidnapping and related offences (05),28
20094,2009Q4,False imprisonment (0511),18
20094,2009Q4,Abduction of person under 16 years of age (0512),4
20094,2009Q4,Human trafficking offences (0513),6
20094,2009Q4,"Robbery, extortion and hijacking offences (06)",665
20094,2009Q4,Robbery of an establishment or institution (0611),264
20094,2009Q4,Robbery of cash or goods in transit (0612),9
20094,2009Q4,Robbery from the person (0613),361
20094,2009Q4,Blackmail or extortion (0621),11
20094,2009Q4,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",20
20094,2009Q4,Burglary and related offences (07),7280
20094,2009Q4,Aggravated burglary (0711),99
20094,2009Q4,Burglary (not aggravated) (0712),7072
20094,2009Q4,"Possession of an article (with intent to burgle, steal, demand) (0713)",109
20094,2009Q4,Theft and related offences (08),18359
20094,2009Q4,Theft/taking of vehicle and related offences (081),2983
20094,2009Q4,Theft from person (0821),703
20094,2009Q4,Theft from shop (0822),5090
20094,2009Q4,"Other thefts, handling stolen property (084)",9583
20094,2009Q4,"Fraud, deception and related offences (09)",1168
20094,2009Q4,Controlled drug offences (10),4548
20094,2009Q4,Importation of drugs (1011),11
20094,2009Q4,Cultivation or manufacture of drugs (1012),73
20094,2009Q4,Possession of drugs for sale or supply (1021),903
20094,2009Q4,Possession of drugs for personal use (1022),3384
20094,2009Q4,Other drug offences (103),177
20094,2009Q4,Weapons and explosives offences (11),1179
20094,2009Q4,"Explosives, chemical weapons offences (111)",13
20094,2009Q4,Discharging a firearm (1121),34
20094,2009Q4,Possession of a firearm (1122),100
20094,2009Q4,Offensive weapons offences (n.e.c.) (113),652
20094,2009Q4,Fireworks offences (114),380
20094,2009Q4,Damage to property and to the environment  offences (12),9788
20094,2009Q4,Arson (1211),691
20094,2009Q4,Criminal damage (not arson) (1212),9047
20094,2009Q4,Litter offences (1221),50
20094,2009Q4,Public order and other social code offences (13),13908
20094,2009Q4,Disorderly conduct (131),11934
20094,2009Q4,Trespass offences (132),923
20094,2009Q4,Liquor licensing offences (133),822
20094,2009Q4,Prostitution offences (134),25
20094,2009Q4,"Regulated betting/money, collection/trading offences (135)",134
20094,2009Q4,Social code offences (n.e.c.) (136),70
20094,2009Q4,Road and traffic offences (14),33026
20094,2009Q4,"Driving licence-failure to have, produce, etc. (1411)",1314
20094,2009Q4,"Insurance-failure to have, produce, display, etc. (1412)",3593
20094,2009Q4,Vehicle tax/registration offences (142),5757
20094,2009Q4,Roadworthiness/regulatory offences (143),846
20094,2009Q4,Obstruction under Road Traffic Acts (1432),43
20094,2009Q4,Other road offences (1433),19917
20094,2009Q4,Road transport - carriage of goods offences (1441),950
20094,2009Q4,Public service vehicle offences (1442),605
20094,2009Q4,Light rail offences (Luas) (1443),1
20094,2009Q4,"Offences against government, justice procedures and organisation of crime (15)",2616
20094,2009Q4,Offences against government and its agents (151),133
20094,2009Q4,Organisation of crime and conspiracy to commit crime (152),0
20094,2009Q4,Perverting the course of justice (153),32
20094,2009Q4,"Offences while in custody, breach of court orders (157)",2451
20094,2009Q4,Offences not elsewhere classified (16),801
20101,2010Q1,Homicide & related offences (01),27
20101,2010Q1,Murder (0111),16
20101,2010Q1,Manslaughter (0112),2
20101,2010Q1,Infanticide (0113),0
20101,2010Q1,Dangerous driving leading to death (012),9
20101,2010Q1,Sexual offences (02),676
20101,2010Q1,Rape of a male or female (0211),127
20101,2010Q1,Defilement of a boy or girl less than 17 years old (0212),39
20101,2010Q1,Sexual offence involving mentally impaired person (0213),4
20101,2010Q1,Aggravated sexual assault (0214),4
20101,2010Q1,Sexual assault (not aggravated) (0215),466
20101,2010Q1,Other sexual offences (022),36
20101,2010Q1,"Attempts/threats to murder, assaults, harassments and related offences (03)",4359
20101,2010Q1,Murder-attempt (0311),2
20101,2010Q1,Threat to kill or cause serious harm  (0313 ),83
20101,2010Q1,Harassment and related offences (033),728
20101,2010Q1,"Assault causing harm, poisoning (034)",886
20101,2010Q1,Other assault (035),2660
20101,2010Q1,Dangerous or negligent acts (04),9141
20101,2010Q1,Dangerous driving causing serious bodily harm (0411),6
20101,2010Q1,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2685
20101,2010Q1,Driving/in charge of a vehicle while over legal alcohol limit (0412),2527
20101,2010Q1,Driving/in charge of a vehicle under the influence of drugs (0413),158
20101,2010Q1,Dangerous/careless driving and motorway offences (0414),1358
20101,2010Q1,Speeding (0415),4833
20101,2010Q1,Endangerment with potential for serious harm/death (0421),10
20101,2010Q1,"Abandoning a child, child neglect and cruelty (0422)",176
20101,2010Q1,Unseaworthy/dangerous use of boat or ship (0423),0
20101,2010Q1,False alarm/interference with aircraft or air transport facilities (0424),1
20101,2010Q1,Endangering traffic offences (0425),72
20101,2010Q1,Kidnapping and related offences (05),32
20101,2010Q1,False imprisonment (0511),21
20101,2010Q1,Abduction of person under 16 years of age (0512),5
20101,2010Q1,Human trafficking offences (0513),6
20101,2010Q1,"Robbery, extortion and hijacking offences (06)",838
20101,2010Q1,Robbery of an establishment or institution (0611),327
20101,2010Q1,Robbery of cash or goods in transit (0612),5
20101,2010Q1,Robbery from the person (0613),471
20101,2010Q1,Blackmail or extortion (0621),6
20101,2010Q1,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",29
20101,2010Q1,Burglary and related offences (07),6338
20101,2010Q1,Aggravated burglary (0711),86
20101,2010Q1,Burglary (not aggravated) (0712),6166
20101,2010Q1,"Possession of an article (with intent to burgle, steal, demand) (0713)",86
20101,2010Q1,Theft and related offences (08),18306
20101,2010Q1,Theft/taking of vehicle and related offences (081),2946
20101,2010Q1,Theft from person (0821),736
20101,2010Q1,Theft from shop (0822),4975
20101,2010Q1,"Other thefts, handling stolen property (084)",9649
20101,2010Q1,"Fraud, deception and related offences (09)",1563
20101,2010Q1,Controlled drug offences (10),4666
20101,2010Q1,Importation of drugs (1011),9
20101,2010Q1,Cultivation or manufacture of drugs (1012),65
20101,2010Q1,Possession of drugs for sale or supply (1021),1031
20101,2010Q1,Possession of drugs for personal use (1022),3395
20101,2010Q1,Other drug offences (103),166
20101,2010Q1,Weapons and explosives offences (11),877
20101,2010Q1,"Explosives, chemical weapons offences (111)",9
20101,2010Q1,Discharging a firearm (1121),50
20101,2010Q1,Possession of a firearm (1122),100
20101,2010Q1,Offensive weapons offences (n.e.c.) (113),699
20101,2010Q1,Fireworks offences (114),19
20101,2010Q1,Damage to property and to the environment  offences (12),9481
20101,2010Q1,Arson (1211),528
20101,2010Q1,Criminal damage (not arson) (1212),8886
20101,2010Q1,Litter offences (1221),67
20101,2010Q1,Public order and other social code offences (13),12500
20101,2010Q1,Disorderly conduct (131),10707
20101,2010Q1,Trespass offences (132),805
20101,2010Q1,Liquor licensing offences (133),776
20101,2010Q1,Prostitution offences (134),24
20101,2010Q1,"Regulated betting/money, collection/trading offences (135)",110
20101,2010Q1,Social code offences (n.e.c.) (136),78
20101,2010Q1,Road and traffic offences (14),36139
20101,2010Q1,"Driving licence-failure to have, produce, etc. (1411)",1441
20101,2010Q1,"Insurance-failure to have, produce, display, etc. (1412)",3972
20101,2010Q1,Vehicle tax/registration offences (142),6980
20101,2010Q1,Roadworthiness/regulatory offences (143),837
20101,2010Q1,Obstruction under Road Traffic Acts (1432),37
20101,2010Q1,Other road offences (1433),20626
20101,2010Q1,Road transport - carriage of goods offences (1441),1411
20101,2010Q1,Public service vehicle offences (1442),833
20101,2010Q1,Light rail offences (Luas) (1443),2
20101,2010Q1,"Offences against government, justice procedures and organisation of crime (15)",2943
20101,2010Q1,Offences against government and its agents (151),86
20101,2010Q1,Organisation of crime and conspiracy to commit crime (152),5
20101,2010Q1,Perverting the course of justice (153),27
20101,2010Q1,"Offences while in custody, breach of court orders (157)",2825
20101,2010Q1,Offences not elsewhere classified (16),888
20102,2010Q2,Homicide & related offences (01),25
20102,2010Q2,Murder (0111),13
20102,2010Q2,Manslaughter (0112),2
20102,2010Q2,Infanticide (0113),0
20102,2010Q2,Dangerous driving leading to death (012),10
20102,2010Q2,Sexual offences (02),636
20102,2010Q2,Rape of a male or female (0211),112
20102,2010Q2,Defilement of a boy or girl less than 17 years old (0212),48
20102,2010Q2,Sexual offence involving mentally impaired person (0213),4
20102,2010Q2,Aggravated sexual assault (0214),0
20102,2010Q2,Sexual assault (not aggravated) (0215),424
20102,2010Q2,Other sexual offences (022),48
20102,2010Q2,"Attempts/threats to murder, assaults, harassments and related offences (03)",4753
20102,2010Q2,Murder-attempt (0311),1
20102,2010Q2,Threat to kill or cause serious harm  (0313 ),109
20102,2010Q2,Harassment and related offences (033),654
20102,2010Q2,"Assault causing harm, poisoning (034)",941
20102,2010Q2,Other assault (035),3048
20102,2010Q2,Dangerous or negligent acts (04),12242
20102,2010Q2,Dangerous driving causing serious bodily harm (0411),6
20102,2010Q2,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2910
20102,2010Q2,Driving/in charge of a vehicle while over legal alcohol limit (0412),2761
20102,2010Q2,Driving/in charge of a vehicle under the influence of drugs (0413),149
20102,2010Q2,Dangerous/careless driving and motorway offences (0414),1419
20102,2010Q2,Speeding (0415),7697
20102,2010Q2,Endangerment with potential for serious harm/death (0421),13
20102,2010Q2,"Abandoning a child, child neglect and cruelty (0422)",143
20102,2010Q2,Unseaworthy/dangerous use of boat or ship (0423),2
20102,2010Q2,False alarm/interference with aircraft or air transport facilities (0424),2
20102,2010Q2,Endangering traffic offences (0425),50
20102,2010Q2,Kidnapping and related offences (05),43
20102,2010Q2,False imprisonment (0511),25
20102,2010Q2,Abduction of person under 16 years of age (0512),5
20102,2010Q2,Human trafficking offences (0513),13
20102,2010Q2,"Robbery, extortion and hijacking offences (06)",783
20102,2010Q2,Robbery of an establishment or institution (0611),240
20102,2010Q2,Robbery of cash or goods in transit (0612),6
20102,2010Q2,Robbery from the person (0613),498
20102,2010Q2,Blackmail or extortion (0621),7
20102,2010Q2,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",32
20102,2010Q2,Burglary and related offences (07),6419
20102,2010Q2,Aggravated burglary (0711),72
20102,2010Q2,Burglary (not aggravated) (0712),6205
20102,2010Q2,"Possession of an article (with intent to burgle, steal, demand) (0713)",142
20102,2010Q2,Theft and related offences (08),19950
20102,2010Q2,Theft/taking of vehicle and related offences (081),2917
20102,2010Q2,Theft from person (0821),728
20102,2010Q2,Theft from shop (0822),5531
20102,2010Q2,"Other thefts, handling stolen property (084)",10774
20102,2010Q2,"Fraud, deception and related offences (09)",1312
20102,2010Q2,Controlled drug offences (10),5422
20102,2010Q2,Importation of drugs (1011),5
20102,2010Q2,Cultivation or manufacture of drugs (1012),126
20102,2010Q2,Possession of drugs for sale or supply (1021),1013
20102,2010Q2,Possession of drugs for personal use (1022),4063
20102,2010Q2,Other drug offences (103),215
20102,2010Q2,Weapons and explosives offences (11),1030
20102,2010Q2,"Explosives, chemical weapons offences (111)",13
20102,2010Q2,Discharging a firearm (1121),48
20102,2010Q2,Possession of a firearm (1122),90
20102,2010Q2,Offensive weapons offences (n.e.c.) (113),869
20102,2010Q2,Fireworks offences (114),10
20102,2010Q2,Damage to property and to the environment  offences (12),9962
20102,2010Q2,Arson (1211),689
20102,2010Q2,Criminal damage (not arson) (1212),9193
20102,2010Q2,Litter offences (1221),80
20102,2010Q2,Public order and other social code offences (13),14372
20102,2010Q2,Disorderly conduct (131),12242
20102,2010Q2,Trespass offences (132),1144
20102,2010Q2,Liquor licensing offences (133),744
20102,2010Q2,Prostitution offences (134),53
20102,2010Q2,"Regulated betting/money, collection/trading offences (135)",88
20102,2010Q2,Social code offences (n.e.c.) (136),101
20102,2010Q2,Road and traffic offences (14),36796
20102,2010Q2,"Driving licence-failure to have, produce, etc. (1411)",1521
20102,2010Q2,"Insurance-failure to have, produce, display, etc. (1412)",4383
20102,2010Q2,Vehicle tax/registration offences (142),6675
20102,2010Q2,Roadworthiness/regulatory offences (143),498
20102,2010Q2,Obstruction under Road Traffic Acts (1432),30
20102,2010Q2,Other road offences (1433),21145
20102,2010Q2,Road transport - carriage of goods offences (1441),1869
20102,2010Q2,Public service vehicle offences (1442),672
20102,2010Q2,Light rail offences (Luas) (1443),3
20102,2010Q2,"Offences against government, justice procedures and organisation of crime (15)",2976
20102,2010Q2,Offences against government and its agents (151),108
20102,2010Q2,Organisation of crime and conspiracy to commit crime (152),3
20102,2010Q2,Perverting the course of justice (153),18
20102,2010Q2,"Offences while in custody, breach of court orders (157)",2847
20102,2010Q2,Offences not elsewhere classified (16),968
20103,2010Q3,Homicide & related offences (01),33
20103,2010Q3,Murder (0111),10
20103,2010Q3,Manslaughter (0112),4
20103,2010Q3,Infanticide (0113),0
20103,2010Q3,Dangerous driving leading to death (012),19
20103,2010Q3,Sexual offences (02),608
20103,2010Q3,Rape of a male or female (0211),129
20103,2010Q3,Defilement of a boy or girl less than 17 years old (0212),44
20103,2010Q3,Sexual offence involving mentally impaired person (0213),3
20103,2010Q3,Aggravated sexual assault (0214),2
20103,2010Q3,Sexual assault (not aggravated) (0215),371
20103,2010Q3,Other sexual offences (022),59
20103,2010Q3,"Attempts/threats to murder, assaults, harassments and related offences (03)",4796
20103,2010Q3,Murder-attempt (0311),3
20103,2010Q3,Threat to kill or cause serious harm  (0313 ),97
20103,2010Q3,Harassment and related offences (033),675
20103,2010Q3,"Assault causing harm, poisoning (034)",977
20103,2010Q3,Other assault (035),3044
20103,2010Q3,Dangerous or negligent acts (04),11217
20103,2010Q3,Dangerous driving causing serious bodily harm (0411),5
20103,2010Q3,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2769
20103,2010Q3,Driving/in charge of a vehicle while over legal alcohol limit (0412),2640
20103,2010Q3,Driving/in charge of a vehicle under the influence of drugs (0413),129
20103,2010Q3,Dangerous/careless driving and motorway offences (0414),1429
20103,2010Q3,Speeding (0415),6852
20103,2010Q3,Endangerment with potential for serious harm/death (0421),20
20103,2010Q3,"Abandoning a child, child neglect and cruelty (0422)",62
20103,2010Q3,Unseaworthy/dangerous use of boat or ship (0423),8
20103,2010Q3,False alarm/interference with aircraft or air transport facilities (0424),4
20103,2010Q3,Endangering traffic offences (0425),68
20103,2010Q3,Kidnapping and related offences (05),29
20103,2010Q3,False imprisonment (0511),16
20103,2010Q3,Abduction of person under 16 years of age (0512),5
20103,2010Q3,Human trafficking offences (0513),8
20103,2010Q3,"Robbery, extortion and hijacking offences (06)",725
20103,2010Q3,Robbery of an establishment or institution (0611),190
20103,2010Q3,Robbery of cash or goods in transit (0612),5
20103,2010Q3,Robbery from the person (0613),498
20103,2010Q3,Blackmail or extortion (0621),5
20103,2010Q3,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",27
20103,2010Q3,Burglary and related offences (07),6245
20103,2010Q3,Aggravated burglary (0711),81
20103,2010Q3,Burglary (not aggravated) (0712),6025
20103,2010Q3,"Possession of an article (with intent to burgle, steal, demand) (0713)",139
20103,2010Q3,Theft and related offences (08),19989
20103,2010Q3,Theft/taking of vehicle and related offences (081),2857
20103,2010Q3,Theft from person (0821),679
20103,2010Q3,Theft from shop (0822),5252
20103,2010Q3,"Other thefts, handling stolen property (084)",11201
20103,2010Q3,"Fraud, deception and related offences (09)",1353
20103,2010Q3,Controlled drug offences (10),5557
20103,2010Q3,Importation of drugs (1011),9
20103,2010Q3,Cultivation or manufacture of drugs (1012),191
20103,2010Q3,Possession of drugs for sale or supply (1021),1138
20103,2010Q3,Possession of drugs for personal use (1022),4015
20103,2010Q3,Other drug offences (103),204
20103,2010Q3,Weapons and explosives offences (11),942
20103,2010Q3,"Explosives, chemical weapons offences (111)",6
20103,2010Q3,Discharging a firearm (1121),37
20103,2010Q3,Possession of a firearm (1122),92
20103,2010Q3,Offensive weapons offences (n.e.c.) (113),754
20103,2010Q3,Fireworks offences (114),53
20103,2010Q3,Damage to property and to the environment  offences (12),9636
20103,2010Q3,Arson (1211),644
20103,2010Q3,Criminal damage (not arson) (1212),8943
20103,2010Q3,Litter offences (1221),49
20103,2010Q3,Public order and other social code offences (13),14622
20103,2010Q3,Disorderly conduct (131),12691
20103,2010Q3,Trespass offences (132),1029
20103,2010Q3,Liquor licensing offences (133),649
20103,2010Q3,Prostitution offences (134),50
20103,2010Q3,"Regulated betting/money, collection/trading offences (135)",107
20103,2010Q3,Social code offences (n.e.c.) (136),96
20103,2010Q3,Road and traffic offences (14),34010
20103,2010Q3,"Driving licence-failure to have, produce, etc. (1411)",1414
20103,2010Q3,"Insurance-failure to have, produce, display, etc. (1412)",3950
20103,2010Q3,Vehicle tax/registration offences (142),5884
20103,2010Q3,Roadworthiness/regulatory offences (143),833
20103,2010Q3,Obstruction under Road Traffic Acts (1432),29
20103,2010Q3,Other road offences (1433),19419
20103,2010Q3,Road transport - carriage of goods offences (1441),1746
20103,2010Q3,Public service vehicle offences (1442),734
20103,2010Q3,Light rail offences (Luas) (1443),1
20103,2010Q3,"Offences against government, justice procedures and organisation of crime (15)",2619
20103,2010Q3,Offences against government and its agents (151),78
20103,2010Q3,Organisation of crime and conspiracy to commit crime (152),4
20103,2010Q3,Perverting the course of justice (153),25
20103,2010Q3,"Offences while in custody, breach of court orders (157)",2512
20103,2010Q3,Offences not elsewhere classified (16),824
20104,2010Q4,Homicide & related offences (01),26
20104,2010Q4,Murder (0111),17
20104,2010Q4,Manslaughter (0112),0
20104,2010Q4,Infanticide (0113),0
20104,2010Q4,Dangerous driving leading to death (012),9
20104,2010Q4,Sexual offences (02),389
20104,2010Q4,Rape of a male or female (0211),103
20104,2010Q4,Defilement of a boy or girl less than 17 years old (0212),25
20104,2010Q4,Sexual offence involving mentally impaired person (0213),4
20104,2010Q4,Aggravated sexual assault (0214),1
20104,2010Q4,Sexual assault (not aggravated) (0215),228
20104,2010Q4,Other sexual offences (022),28
20104,2010Q4,"Attempts/threats to murder, assaults, harassments and related offences (03)",4331
20104,2010Q4,Murder-attempt (0311),2
20104,2010Q4,Threat to kill or cause serious harm  (0313 ),78
20104,2010Q4,Harassment and related offences (033),543
20104,2010Q4,"Assault causing harm, poisoning (034)",876
20104,2010Q4,Other assault (035),2832
20104,2010Q4,Dangerous or negligent acts (04),9255
20104,2010Q4,Dangerous driving causing serious bodily harm (0411),2
20104,2010Q4,"Driving/In charge of a vehicle while intoxicated – alcohol and/or drugs (0412, 0413)",2521
20104,2010Q4,Driving/in charge of a vehicle while over legal alcohol limit (0412),2380
20104,2010Q4,Driving/in charge of a vehicle under the influence of drugs (0413),141
20104,2010Q4,Dangerous/careless driving and motorway offences (0414),1263
20104,2010Q4,Speeding (0415),5309
20104,2010Q4,Endangerment with potential for serious harm/death (0421),13
20104,2010Q4,"Abandoning a child, child neglect and cruelty (0422)",53
20104,2010Q4,Unseaworthy/dangerous use of boat or ship (0423),0
20104,2010Q4,False alarm/interference with aircraft or air transport facilities (0424),0
20104,2010Q4,Endangering traffic offences (0425),94
20104,2010Q4,Kidnapping and related offences (05),28
20104,2010Q4,False imprisonment (0511),19
20104,2010Q4,Abduction of person under 16 years of age (0512),7
20104,2010Q4,Human trafficking offences (0513),2
20104,2010Q4,"Robbery, extortion and hijacking offences (06)",892
20104,2010Q4,Robbery of an establishment or institution (0611),331
20104,2010Q4,Robbery of cash or goods in transit (0612),5
20104,2010Q4,Robbery from the person (0613),517
20104,2010Q4,Blackmail or extortion (0621),6
20104,2010Q4,"Carjacking, hijacking/unlawful seizure of aircraft/vessel (0631)",33
20104,2010Q4,Burglary and related offences (07),7123
20104,2010Q4,Aggravated burglary (0711),93
20104,2010Q4,Burglary (not aggravated) (0712),6888
20104,2010Q4,"Possession of an article (with intent to burgle, steal, demand) (0713)",142
20104,2010Q4,Theft and related offences (08),18410
20104,2010Q4,Theft/taking of vehicle and related offences (081),2899
20104,2010Q4,Theft from person (0821),677
20104,2010Q4,Theft from shop (0822),5016
20104,2010Q4,"Other thefts, handling stolen property (084)",9818
20104,2010Q4,"Fraud, deception and related offences (09)",1283
20104,2010Q4,Controlled drug offences (10),4139
20104,2010Q4,Importation of drugs (1011),6
20104,2010Q4,Cultivation or manufacture of drugs (1012),150
20104,2010Q4,Possession of drugs for sale or supply (1021),914
20104,2010Q4,Possession of drugs for personal use (1022),2907
20104,2010Q4,Other drug offences (103),162
20104,2010Q4,Weapons and explosives offences (11),1267
20104,2010Q4,"Explosives, chemical weapons offences (111)",14
20104,2010Q4,Discharging a firearm (1121),44
20104,2010Q4,Possession of a firearm (1122),125
20104,2010Q4,Offensive weapons offences (n.e.c.) (113),705
20104,2010Q4,Fireworks offences (114),379
20104,2010Q4,Damage to property and to the environment  offences (12),9717
20104,2010Q4,Arson (1211),713
20104,2010Q4,Criminal damage (not arson) (1212),8963
20104,2010Q4,Litter offences (1221),41
20104,2010Q4,Public order and other social code offences (13),13354
20104,2010Q4,Disorderly conduct (131),11653
20104,2010Q4,Trespass offences (132),832
20104,2010Q4,Liquor licensing offences (133),593
20104,2010Q4,Prostitution offences (134),57
20104,2010Q4,"Regulated betting/money, collection/trading offences (135)",118
20104,2010Q4,Social code offences (n.e.c.) (136),101
20104,2010Q4,Road and traffic offences (14),28803
20104,2010Q4,"Driving licence-failure to have, produce, etc. (1411)",1223
20104,2010Q4,"Insurance-failure to have, produce, display, etc. (1412)",3217
20104,2010Q4,Vehicle tax/registration offences (142),4651
20104,2010Q4,Roadworthiness/regulatory offences (143),938
20104,2010Q4,Obstruction under Road Traffic Acts (1432),49
20104,2010Q4,Other road offences (1433),16697
20104,2010Q4,Road transport - carriage of goods offences (1441),1387
20104,2010Q4,Public service vehicle offences (1442),638
20104,2010Q4,Light rail offences (Luas) (1443),3
20104,2010Q4,"Offences against government, justice procedures and organisation of crime (15)",2658
20104,2010Q4,Offences against government and its agents (151),63
20104,2010Q4,Organisation of crime and conspiracy to commit crime (152),6
20104,2010Q4,Perverting the course of justice (153),29
20104,2010Q4,"Offences while in custody, breach of court orders (157)",2560
20104,2010Q4,Offences not elsewhere classified (16),802
20111,2011Q1,Homicide & related offences (01),22
20111,2011Q1,Murder (0111),12
20111,2011Q1,Manslaughter (0112),3
20111,2011Q1,Infanticide (0113),0
20111,2011Q1,Dangerous driving leading to death (012),7
20111,2011Q1,Sexual offences (02),559
20111,2011Q1,Rape of a male or female (0211),131
20111,2011Q1,Defilement of a boy or girl less than 17 years old (0212),46
20111,2011Q1,Sexual offence involving mentally impaired person (0213),2
20111,2011Q1,Aggravated sexual assault (0214),2
20111,2011Q1,Sexual assault (not aggravated) (0215),337
20111,2011Q1,Other sexual offences (022),41
20111,2011Q1,"Attempts/threats to murder, assaults, harassments and related offences (03)",4362
20111,2011Q1,Murder-attempt (0311),2
20111,2011Q1,Threat to kill or cause serious harm  (0313 ),108
20111,2011Q1,Harassment and related offences (033),586
20111,2011Q1,"Assault causing harm, poisoning (034)",917
20111,2011Q1,Other assault (035),2749
20111,2011Q1,Dangerous or negligent acts (04),14100
20111,2011Q1,Dangerous driving causing serious bodily harm (0411),5
