2023,Galway,Burglary,1
2023,Galway,Theft,5
2023,Galway,Fraud,2
2023,Galway,Controlled drug,2
2023,Galway,Weapons,0
2023,Galway,Damage to property/environment ,5
2023,Galway,Public order,5
2023,Galway,Road,10
2023,Galway,State-related,0
2023,Galway,Other,0
2023,Waterford,Violent Offences,8
2023,Waterford,Negligence,15
2023,Waterford,Kidnapping,0
2023,Waterford,Banditry,0
2023,Waterford,Burglary,1
2023,Waterford,Theft,2
2023,Waterford,Fraud,3
2023,Waterford,Controlled drug,0
2023,Waterford,Weapons,0
2023,Waterford,Damage to property/environment ,4
2023,Waterford,Public order,3
2023,Waterford,Road,4
2023,Waterford,State-related,0
2023,Waterford,Other,1
2023,Galway,Violent Offences,18
2023,Galway,Negligence,85
2023,Galway,Kidnapping,0
2023,Galway,Banditry,0
2023,Galway,Burglary,1
2023,Galway,Theft,14
2023,Galway,Fraud,8
2023,Galway,Controlled drug,4
2023,Galway,Weapons,0
2023,Galway,Damage to property/environment ,7
2023,Galway,Public order,15
2023,Galway,Road,16
2023,Galway,State-related,1
2023,Galway,Other,2
2023,Cork,Violent Offences,292
2023,Cork,Negligence,72
2023,Cork,Kidnapping,1
2023,Cork,Banditry,26
2023,Cork,Burglary,58
2023,Cork,Theft,1194
2023,Cork,Fraud,79
2023,Cork,Controlled drug,193
2023,Cork,Weapons,36
2023,Cork,Damage to property/environment ,139
2023,Cork,Public order,806
2023,Cork,Road,219
2023,Cork,State-related,352
2023,Cork,Other,5
2023,Kerry,Violent Offences,2
2023,Kerry,Negligence,8
2023,Kerry,Kidnapping,0
2023,Kerry,Banditry,0
2023,Kerry,Burglary,0
2023,Kerry,Theft,4
2023,Kerry,Fraud,1
2023,Kerry,Controlled drug,2
2023,Kerry,Weapons,0
2023,Kerry,Damage to property/environment ,5
2023,Kerry,Public order,3
2023,Kerry,Road,5
2023,Kerry,State-related,0
2023,Kerry,Other,1
2023,Galway,Violent Offences,69
2023,Galway,Negligence,95
2023,Galway,Kidnapping,1
2023,Galway,Banditry,5
2023,Galway,Burglary,27
2023,Galway,Theft,238
2023,Galway,Fraud,32
2023,Galway,Controlled drug,59
2023,Galway,Weapons,6
2023,Galway,Damage to property/environment ,59
2023,Galway,Public order,66
2023,Galway,Road,198
2023,Galway,State-related,7
2023,Galway,Other,1
2023,Donegal,Violent Offences,17
2023,Donegal,Negligence,11
2023,Donegal,Kidnapping,0
2023,Donegal,Banditry,1
