Quarter,year,county,crime_type,crime_count
2019Q1,2019,Tipperary,Fraud,70
2019Q1,2019,Tipperary,Theft,278
2019Q1,2019,Waterford,Assault,135
2019Q1,2019,Waterford,Burglary,74
2019Q1,2019,Waterford,Damage to Property,146
2019Q1,2019,Waterford,Drug Offences,156
2019Q1,2019,Waterford,Fraud,32
2019Q1,2019,Waterford,Theft,380
2019Q1,2019,Westmeath,Assault,111
2019Q1,2019,Westmeath,Burglary,66
2019Q1,2019,Westmeath,Damage to Property,88
2019Q1,2019,Westmeath,Drug Offences,72
2019Q1,2019,Westmeath,Fraud,39
2019Q1,2019,Westmeath,Theft,236
2019Q1,2019,Wexford,Assault,141
2019Q1,2019,Wexford,Burglary,133
2019Q1,2019,Wexford,Damage to Property,155
2019Q1,2019,Wexford,Drug Offences,136
2019Q1,2019,Wexford,Fraud,44
2019Q1,2019,Wexford,Theft,252
2019Q1,2019,Wicklow,Assault,127
2019Q1,2019,Wicklow,Burglary,153
2019Q1,2019,Wicklow,Damage to Property,136
2019Q1,2019,Wicklow,Drug Offences,108
2019Q1,2019,Wicklow,Fraud,40
2019Q1,2019,Wicklow,Theft,438
2019Q2,2019,Carlow,Assault,50
2019Q2,2019,Carlow,Burglary,36
2019Q2,2019,Carlow,Damage to Property,42
2019Q2,2019,Carlow,Drug Offences,79
2019Q2,2019,Carlow,Fraud,18
2019Q2,2019,Carlow,Theft,165
2019Q2,2019,Cavan,Assault,92
2019Q2,2019,Cavan,Burglary,48
2019Q2,2019,Cavan,Damage to Property,74
2019Q2,2019,Cavan,Drug Offences,44
2019Q2,2019,Cavan,Fraud,26
2019Q2,2019,Cavan,Theft,117
2019Q2,2019,Clare,Assault,103
2019Q2,2019,Clare,Burglary,52
2019Q2,2019,Clare,Damage to Property,105
2019Q2,2019,Clare,Drug Offences,89
2019Q2,2019,Clare,Fraud,35
2019Q2,2019,Clare,Theft,208
2019Q2,2019,Cork,Assault,579
2019Q2,2019,Cork,Burglary,200
2019Q2,2019,Cork,Damage to Property,503
2019Q2,2019,Cork,Drug Offences,474
2019Q2,2019,Cork,Fraud,149
2019Q2,2019,Cork,Theft,1324
2019Q2,2019,Donegal,Assault,221
2019Q2,2019,Donegal,Burglary,52
2019Q2,2019,Donegal,Damage to Property,158
2019Q2,2019,Donegal,Drug Offences,164
2019Q2,2019,Donegal,Fraud,28
2019Q2,2019,Donegal,Theft,190
2019Q2,2019,Dublin,Assault,1877
2019Q2,2019,Dublin,Burglary,1771
2019Q2,2019,Dublin,Damage to Property,2152
2019Q2,2019,Dublin,Drug Offences,2326
2019Q2,2019,Dublin,Fraud,912
2019Q2,2019,Dublin,Theft,9076
2019Q2,2019,Galway,Assault,233
2019Q2,2019,Galway,Burglary,108
2019Q2,2019,Galway,Damage to Property,202
2019Q2,2019,Galway,Drug Offences,147
2019Q2,2019,Galway,Fraud,99
2019Q2,2019,Galway,Theft,580
2019Q2,2019,Kerry,Assault,195
2019Q2,2019,Kerry,Burglary,62
2019Q2,2019,Kerry,Damage to Property,90
2019Q2,2019,Kerry,Drug Offences,166
2019Q2,2019,Kerry,Fraud,36
2019Q2,2019,Kerry,Theft,253
2019Q2,2019,Kildare,Assault,192
2019Q2,2019,Kildare,Burglary,183
2019Q2,2019,Kildare,Damage to Property,178
2019Q2,2019,Kildare,Drug Offences,147
2019Q2,2019,Kildare,Fraud,70
2019Q2,2019,Kildare,Theft,670
2019Q2,2019,Kilkenny,Assault,50
2019Q2,2019,Kilkenny,Burglary,36
2019Q2,2019,Kilkenny,Damage to Property,42
2019Q2,2019,Kilkenny,Drug Offences,79
2019Q2,2019,Kilkenny,Fraud,18
2019Q2,2019,Kilkenny,Theft,165
2019Q2,2019,Laois,Assault,115
2019Q2,2019,Laois,Burglary,56
2019Q2,2019,Laois,Damage to Property,92
2019Q2,2019,Laois,Drug Offences,74
2019Q2,2019,Laois,Fraud,30
2019Q2,2019,Laois,Theft,176
2019Q2,2019,Leitrim,Assault,46
2019Q2,2019,Leitrim,Burglary,30
2019Q2,2019,Leitrim,Damage to Property,52
2019Q2,2019,Leitrim,Drug Offences,30
2019Q2,2019,Leitrim,Fraud,10
2019Q2,2019,Leitrim,Theft,96
2019Q2,2019,Limerick,Assault,233
2019Q2,2019,Limerick,Burglary,192
2019Q2,2019,Limerick,Damage to Property,288
2019Q2,2019,Limerick,Drug Offences,231
2019Q2,2019,Limerick,Fraud,83
2019Q2,2019,Limerick,Theft,721
2019Q2,2019,Longford,Assault,64
2019Q2,2019,Longford,Burglary,32
2019Q2,2019,Longford,Damage to Property,44
2019Q2,2019,Longford,Drug Offences,38
2019Q2,2019,Longford,Fraud,15
2019Q2,2019,Longford,Theft,62
2019Q2,2019,Louth,Assault,191
2019Q2,2019,Louth,Burglary,129
2019Q2,2019,Louth,Damage to Property,198
2019Q2,2019,Louth,Drug Offences,163
2019Q2,2019,Louth,Fraud,55
2019Q2,2019,Louth,Theft,500
2019Q2,2019,Mayo,Assault,102
2019Q2,2019,Mayo,Burglary,36
2019Q2,2019,Mayo,Damage to Property,80
2019Q2,2019,Mayo,Drug Offences,32
2019Q2,2019,Mayo,Fraud,32
2019Q2,2019,Mayo,Theft,192
2019Q2,2019,Meath,Assault,136
2019Q2,2019,Meath,Burglary,142
2019Q2,2019,Meath,Damage to Property,167
2019Q2,2019,Meath,Drug Offences,177
2019Q2,2019,Meath,Fraud,53
2019Q2,2019,Meath,Theft,580
2019Q2,2019,Monaghan,Assault,92
2019Q2,2019,Monaghan,Burglary,48
2019Q2,2019,Monaghan,Damage to Property,74
2019Q2,2019,Monaghan,Drug Offences,44
2019Q2,2019,Monaghan,Fraud,26
2019Q2,2019,Monaghan,Theft,117
2019Q2,2019,Offaly,Assault,115
2019Q2,2019,Offaly,Burglary,56
2019Q2,2019,Offaly,Damage to Property,92
2019Q2,2019,Offaly,Drug Offences,74
2019Q2,2019,Offaly,Fraud,30
2019Q2,2019,Offaly,Theft,176
2019Q2,2019,Roscommon,Assault,64
2019Q2,2019,Roscommon,Burglary,32
2019Q2,2019,Roscommon,Damage to Property,44
2019Q2,2019,Roscommon,Drug Offences,38
2019Q2,2019,Roscommon,Fraud,15
2019Q2,2019,Roscommon,Theft,62
2019Q2,2019,Sligo,Assault,46
2019Q2,2019,Sligo,Burglary,30
2019Q2,2019,Sligo,Damage to Property,52
2019Q2,2019,Sligo,Drug Offences,30
2019Q2,2019,Sligo,Fraud,10
2019Q2,2019,Sligo,Theft,96
2019Q2,2019,Tipperary,Assault,141
2019Q2,2019,Tipperary,Burglary,89
2019Q2,2019,Tipperary,Damage to Property,146
2019Q2,2019,Tipperary,Drug Offences,157
2019Q2,2019,Tipperary,Fraud,32
2019Q2,2019,Tipperary,Theft,290
2019Q2,2019,Waterford,Assault,160
2019Q2,2019,Waterford,Burglary,92
2019Q2,2019,Waterford,Damage to Property,146
2019Q2,2019,Waterford,Drug Offences,201
2019Q2,2019,Waterford,Fraud,42
2019Q2,2019,Waterford,Theft,467
2019Q2,2019,Westmeath,Assault,96
2019Q2,2019,Westmeath,Burglary,65
2019Q2,2019,Westmeath,Damage to Property,75
2019Q2,2019,Westmeath,Drug Offences,944
2019Q2,2019,Westmeath,Fraud,35
2019Q2,2019,Westmeath,Theft,241
2019Q2,2019,Wexford,Assault,127
2019Q2,2019,Wexford,Burglary,92
2019Q2,2019,Wexford,Damage to Property,142
2019Q2,2019,Wexford,Drug Offences,110
2019Q2,2019,Wexford,Fraud,36
2019Q2,2019,Wexford,Theft,263
2019Q2,2019,Wicklow,Assault,120
2019Q2,2019,Wicklow,Burglary,165
2019Q2,2019,Wicklow,Damage to Property,153
2019Q2,2019,Wicklow,Drug Offences,159
2019Q2,2019,Wicklow,Fraud,40
2019Q2,2019,Wicklow,Theft,451
2019Q3,2019,Carlow,Assault,60
2019Q3,2019,Carlow,Burglary,42
2019Q3,2019,Carlow,Damage to Property,62
2019Q3,2019,Carlow,Drug Offences,65
2019Q3,2019,Carlow,Fraud,16
2019Q3,2019,Carlow,Theft,173
2019Q3,2019,Cavan,Assault,105
2019Q3,2019,Cavan,Burglary,48
2019Q3,2019,Cavan,Damage to Property,76
2019Q3,2019,Cavan,Drug Offences,45
2019Q3,2019,Cavan,Fraud,28
2019Q3,2019,Cavan,Theft,146
2019Q3,2019,Clare,Assault,100
2019Q3,2019,Clare,Burglary,51
2019Q3,2019,Clare,Damage to Property,121
2019Q3,2019,Clare,Drug Offences,52
2019Q3,2019,Clare,Fraud,50
2019Q3,2019,Clare,Theft,214
2019Q3,2019,Cork,Assault,622
2019Q3,2019,Cork,Burglary,212
2019Q3,2019,Cork,Damage to Property,481
2019Q3,2019,Cork,Drug Offences,535
2019Q3,2019,Cork,Fraud,173
2019Q3,2019,Cork,Theft,1249
2019Q3,2019,Donegal,Assault,240
2019Q3,2019,Donegal,Burglary,84
2019Q3,2019,Donegal,Damage to Property,144
2019Q3,2019,Donegal,Drug Offences,98
2019Q3,2019,Donegal,Fraud,55
2019Q3,2019,Donegal,Theft,199
2019Q3,2019,Dublin,Assault,1932
2019Q3,2019,Dublin,Burglary,1642
2019Q3,2019,Dublin,Damage to Property,2107
2019Q3,2019,Dublin,Drug Offences,2337
2019Q3,2019,Dublin,Fraud,973
2019Q3,2019,Dublin,Theft,9706
2019Q3,2019,Galway,Assault,279
2019Q3,2019,Galway,Burglary,154
2019Q3,2019,Galway,Damage to Property,236
2019Q3,2019,Galway,Drug Offences,168
2019Q3,2019,Galway,Fraud,82
2019Q3,2019,Galway,Theft,572
2019Q3,2019,Kerry,Assault,175
2019Q3,2019,Kerry,Burglary,85
2019Q3,2019,Kerry,Damage to Property,108
2019Q3,2019,Kerry,Drug Offences,180
2019Q3,2019,Kerry,Fraud,56
2019Q3,2019,Kerry,Theft,296
2019Q3,2019,Kildare,Assault,190
2019Q3,2019,Kildare,Burglary,227
2019Q3,2019,Kildare,Damage to Property,167
2019Q3,2019,Kildare,Drug Offences,303
2019Q3,2019,Kildare,Fraud,85
2019Q3,2019,Kildare,Theft,631
2019Q3,2019,Kilkenny,Assault,60
2019Q3,2019,Kilkenny,Burglary,42
2019Q3,2019,Kilkenny,Damage to Property,62
2019Q3,2019,Kilkenny,Drug Offences,65
2019Q3,2019,Kilkenny,Fraud,16
2019Q3,2019,Kilkenny,Theft,173
2019Q3,2019,Laois,Assault,114
2019Q3,2019,Laois,Burglary,51
2019Q3,2019,Laois,Damage to Property,106
2019Q3,2019,Laois,Drug Offences,316
2019Q3,2019,Laois,Fraud,26
2019Q3,2019,Laois,Theft,200
2019Q3,2019,Leitrim,Assault,54
2019Q3,2019,Leitrim,Burglary,22
2019Q3,2019,Leitrim,Damage to Property,62
2019Q3,2019,Leitrim,Drug Offences,31
2019Q3,2019,Leitrim,Fraud,12
2019Q3,2019,Leitrim,Theft,96
2019Q3,2019,Limerick,Assault,223
2019Q3,2019,Limerick,Burglary,181
2019Q3,2019,Limerick,Damage to Property,261
2019Q3,2019,Limerick,Drug Offences,195
2019Q3,2019,Limerick,Fraud,71
2019Q3,2019,Limerick,Theft,717
2019Q3,2019,Longford,Assault,68
2019Q3,2019,Longford,Burglary,36
2019Q3,2019,Longford,Damage to Property,36
2019Q3,2019,Longford,Drug Offences,40
2019Q3,2019,Longford,Fraud,17
2019Q3,2019,Longford,Theft,65
2019Q3,2019,Louth,Assault,166
2019Q3,2019,Louth,Burglary,145
2019Q3,2019,Louth,Damage to Property,219
2019Q3,2019,Louth,Drug Offences,216
2019Q3,2019,Louth,Fraud,57
2019Q3,2019,Louth,Theft,487
2019Q3,2019,Mayo,Assault,115
2019Q3,2019,Mayo,Burglary,52
2019Q3,2019,Mayo,Damage to Property,97
2019Q3,2019,Mayo,Drug Offences,41
2019Q3,2019,Mayo,Fraud,39
2019Q3,2019,Mayo,Theft,197
2019Q3,2019,Meath,Assault,166
2019Q3,2019,Meath,Burglary,153
2019Q3,2019,Meath,Damage to Property,169
2019Q3,2019,Meath,Drug Offences,101
2019Q3,2019,Meath,Fraud,43
2019Q3,2019,Meath,Theft,522
2019Q3,2019,Monaghan,Assault,105
2019Q3,2019,Monaghan,Burglary,48
2019Q3,2019,Monaghan,Damage to Property,76
2019Q3,2019,Monaghan,Drug Offences,45
2019Q3,2019,Monaghan,Fraud,28
2019Q3,2019,Monaghan,Theft,146
2019Q3,2019,Offaly,Assault,114
2019Q3,2019,Offaly,Burglary,51
2019Q3,2019,Offaly,Damage to Property,106
2019Q3,2019,Offaly,Drug Offences,316
2019Q3,2019,Offaly,Fraud,26
2019Q3,2019,Offaly,Theft,200
2019Q3,2019,Roscommon,Assault,68
2019Q3,2019,Roscommon,Burglary,36
2019Q3,2019,Roscommon,Damage to Property,36
2019Q3,2019,Roscommon,Drug Offences,40
2019Q3,2019,Roscommon,Fraud,17
2019Q3,2019,Roscommon,Theft,65
2019Q3,2019,Sligo,Assault,54
2019Q3,2019,Sligo,Burglary,22
2019Q3,2019,Sligo,Damage to Property,62
2019Q3,2019,Sligo,Drug Offences,31
2019Q3,2019,Sligo,Fraud,12
2019Q3,2019,Sligo,Theft,96
2019Q3,2019,Tipperary,Assault,142
2019Q3,2019,Tipperary,Burglary,93
2019Q3,2019,Tipperary,Damage to Property,124
2019Q3,2019,Tipperary,Drug Offences,99
2019Q3,2019,Tipperary,Fraud,37
2019Q3,2019,Tipperary,Theft,281
2019Q3,2019,Waterford,Assault,177
2019Q3,2019,Waterford,Burglary,108
2019Q3,2019,Waterford,Damage to Property,209
2019Q3,2019,Waterford,Drug Offences,224
2019Q3,2019,Waterford,Fraud,49
2019Q3,2019,Waterford,Theft,467
2019Q3,2019,Westmeath,Assault,121
2019Q3,2019,Westmeath,Burglary,90
2019Q3,2019,Westmeath,Damage to Property,127
2019Q3,2019,Westmeath,Drug Offences,72
2019Q3,2019,Westmeath,Fraud,30
2019Q3,2019,Westmeath,Theft,290
2019Q3,2019,Wexford,Assault,132
2019Q3,2019,Wexford,Burglary,125
2019Q3,2019,Wexford,Damage to Property,159
2019Q3,2019,Wexford,Drug Offences,80
2019Q3,2019,Wexford,Fraud,33
2019Q3,2019,Wexford,Theft,231
2019Q3,2019,Wicklow,Assault,138
2019Q3,2019,Wicklow,Burglary,205
2019Q3,2019,Wicklow,Damage to Property,147
2019Q3,2019,Wicklow,Drug Offences,155
2019Q3,2019,Wicklow,Fraud,52
2019Q3,2019,Wicklow,Theft,473
2019Q4,2019,Carlow,Assault,61
2019Q4,2019,Carlow,Burglary,64
