Quarter,year,county,crime_type,crime_count
2020Q1,2020,Donegal,Drug Offences,90
2020Q1,2020,Donegal,Fraud,52
2020Q1,2020,Donegal,Theft,152
2020Q1,2020,Dublin,Assault,1728
2020Q1,2020,Dublin,Burglary,1821
2020Q1,2020,Dublin,Damage to Property,2086
2020Q1,2020,Dublin,Drug Offences,2337
2020Q1,2020,Dublin,Fraud,879
2020Q1,2020,Dublin,Theft,7977
2020Q1,2020,Galway,Assault,218
2020Q1,2020,Galway,Burglary,150
2020Q1,2020,Galway,Damage to Property,206
2020Q1,2020,Galway,Drug Offences,104
2020Q1,2020,Galway,Fraud,90
2020Q1,2020,Galway,Theft,496
2020Q1,2020,Kerry,Assault,130
2020Q1,2020,Kerry,Burglary,55
2020Q1,2020,Kerry,Damage to Property,80
2020Q1,2020,Kerry,Drug Offences,140
2020Q1,2020,Kerry,Fraud,49
2020Q1,2020,Kerry,Theft,211
2020Q1,2020,Kildare,Assault,159
2020Q1,2020,Kildare,Burglary,152
2020Q1,2020,Kildare,Damage to Property,175
2020Q1,2020,Kildare,Drug Offences,190
2020Q1,2020,Kildare,Fraud,77
2020Q1,2020,Kildare,Theft,481
2020Q1,2020,Kilkenny,Assault,39
2020Q1,2020,Kilkenny,Burglary,40
2020Q1,2020,Kilkenny,Damage to Property,44
2020Q1,2020,Kilkenny,Drug Offences,80
2020Q1,2020,Kilkenny,Fraud,20
2020Q1,2020,Kilkenny,Theft,105
2020Q1,2020,Laois,Assault,74
2020Q1,2020,Laois,Burglary,50
2020Q1,2020,Laois,Damage to Property,68
2020Q1,2020,Laois,Drug Offences,86
2020Q1,2020,Laois,Fraud,31
2020Q1,2020,Laois,Theft,158
2020Q1,2020,Leitrim,Assault,43
2020Q1,2020,Leitrim,Burglary,32
2020Q1,2020,Leitrim,Damage to Property,40
2020Q1,2020,Leitrim,Drug Offences,32
2020Q1,2020,Leitrim,Fraud,22
2020Q1,2020,Leitrim,Theft,86
2020Q1,2020,Limerick,Assault,184
2020Q1,2020,Limerick,Burglary,228
2020Q1,2020,Limerick,Damage to Property,240
2020Q1,2020,Limerick,Drug Offences,174
2020Q1,2020,Limerick,Fraud,78
2020Q1,2020,Limerick,Theft,786
2020Q1,2020,Longford,Assault,50
2020Q1,2020,Longford,Burglary,21
2020Q1,2020,Longford,Damage to Property,30
2020Q1,2020,Longford,Drug Offences,30
2020Q1,2020,Longford,Fraud,12
2020Q1,2020,Longford,Theft,72
2020Q1,2020,Louth,Assault,154
2020Q1,2020,Louth,Burglary,103
2020Q1,2020,Louth,Damage to Property,177
2020Q1,2020,Louth,Drug Offences,220
2020Q1,2020,Louth,Fraud,72
2020Q1,2020,Louth,Theft,423
2020Q1,2020,Mayo,Assault,97
2020Q1,2020,Mayo,Burglary,21
2020Q1,2020,Mayo,Damage to Property,67
2020Q1,2020,Mayo,Drug Offences,86
2020Q1,2020,Mayo,Fraud,39
2020Q1,2020,Mayo,Theft,136
2020Q1,2020,Meath,Assault,140
2020Q1,2020,Meath,Burglary,151
2020Q1,2020,Meath,Damage to Property,150
2020Q1,2020,Meath,Drug Offences,123
2020Q1,2020,Meath,Fraud,47
2020Q1,2020,Meath,Theft,512
2020Q1,2020,Monaghan,Assault,72
2020Q1,2020,Monaghan,Burglary,62
2020Q1,2020,Monaghan,Damage to Property,61
2020Q1,2020,Monaghan,Drug Offences,46
2020Q1,2020,Monaghan,Fraud,24
2020Q1,2020,Monaghan,Theft,115
2020Q1,2020,Offaly,Assault,74
2020Q1,2020,Offaly,Burglary,50
2020Q1,2020,Offaly,Damage to Property,68
2020Q1,2020,Offaly,Drug Offences,86
2020Q1,2020,Offaly,Fraud,31
2020Q1,2020,Offaly,Theft,158
2020Q1,2020,Roscommon,Assault,50
2020Q1,2020,Roscommon,Burglary,21
2020Q1,2020,Roscommon,Damage to Property,30
2020Q1,2020,Roscommon,Drug Offences,30
2020Q1,2020,Roscommon,Fraud,12
2020Q1,2020,Roscommon,Theft,72
2020Q1,2020,Sligo,Assault,43
2020Q1,2020,Sligo,Burglary,32
2020Q1,2020,Sligo,Damage to Property,40
2020Q1,2020,Sligo,Drug Offences,32
2020Q1,2020,Sligo,Fraud,22
2020Q1,2020,Sligo,Theft,86
2020Q1,2020,Tipperary,Assault,104
2020Q1,2020,Tipperary,Burglary,100
2020Q1,2020,Tipperary,Damage to Property,106
2020Q1,2020,Tipperary,Drug Offences,148
2020Q1,2020,Tipperary,Fraud,34
2020Q1,2020,Tipperary,Theft,286
2020Q1,2020,Waterford,Assault,152
2020Q1,2020,Waterford,Burglary,86
2020Q1,2020,Waterford,Damage to Property,156
2020Q1,2020,Waterford,Drug Offences,185
2020Q1,2020,Waterford,Fraud,41
2020Q1,2020,Waterford,Theft,335
2020Q1,2020,Westmeath,Assault,96
2020Q1,2020,Westmeath,Burglary,58
2020Q1,2020,Westmeath,Damage to Property,109
2020Q1,2020,Westmeath,Drug Offences,103
2020Q1,2020,Westmeath,Fraud,43
2020Q1,2020,Westmeath,Theft,206
2020Q1,2020,Wexford,Assault,124
2020Q1,2020,Wexford,Burglary,123
2020Q1,2020,Wexford,Damage to Property,153
2020Q1,2020,Wexford,Drug Offences,93
2020Q1,2020,Wexford,Fraud,62
2020Q1,2020,Wexford,Theft,208
2020Q1,2020,Wicklow,Assault,86
2020Q1,2020,Wicklow,Burglary,107
2020Q1,2020,Wicklow,Damage to Property,139
2020Q1,2020,Wicklow,Drug Offences,144
2020Q1,2020,Wicklow,Fraud,38
2020Q1,2020,Wicklow,Theft,343
2020Q2,2020,Carlow,Assault,39
2020Q2,2020,Carlow,Burglary,20
2020Q2,2020,Carlow,Damage to Property,54
2020Q2,2020,Carlow,Drug Offences,81
2020Q2,2020,Carlow,Fraud,17
2020Q2,2020,Carlow,Theft,90
2020Q2,2020,Cavan,Assault,82
2020Q2,2020,Cavan,Burglary,19
2020Q2,2020,Cavan,Damage to Property,63
2020Q2,2020,Cavan,Drug Offences,72
2020Q2,2020,Cavan,Fraud,28
2020Q2,2020,Cavan,Theft,67
2020Q2,2020,Clare,Assault,86
2020Q2,2020,Clare,Burglary,24
2020Q2,2020,Clare,Damage to Property,86
2020Q2,2020,Clare,Drug Offences,128
2020Q2,2020,Clare,Fraud,43
2020Q2,2020,Clare,Theft,134
2020Q2,2020,Cork,Assault,461
2020Q2,2020,Cork,Burglary,143
2020Q2,2020,Cork,Damage to Property,401
2020Q2,2020,Cork,Drug Offences,659
2020Q2,2020,Cork,Fraud,175
2020Q2,2020,Cork,Theft,854
2020Q2,2020,Donegal,Assault,145
2020Q2,2020,Donegal,Burglary,34
2020Q2,2020,Donegal,Damage to Property,132
2020Q2,2020,Donegal,Drug Offences,170
2020Q2,2020,Donegal,Fraud,52
2020Q2,2020,Donegal,Theft,120
2020Q2,2020,Dublin,Assault,1615
2020Q2,2020,Dublin,Burglary,746
2020Q2,2020,Dublin,Damage to Property,1680
2020Q2,2020,Dublin,Drug Offences,2893
2020Q2,2020,Dublin,Fraud,822
2020Q2,2020,Dublin,Theft,5519
2020Q2,2020,Galway,Assault,242
2020Q2,2020,Galway,Burglary,77
2020Q2,2020,Galway,Damage to Property,205
2020Q2,2020,Galway,Drug Offences,156
2020Q2,2020,Galway,Fraud,93
2020Q2,2020,Galway,Theft,350
2020Q2,2020,Kerry,Assault,139
2020Q2,2020,Kerry,Burglary,29
2020Q2,2020,Kerry,Damage to Property,98
2020Q2,2020,Kerry,Drug Offences,195
2020Q2,2020,Kerry,Fraud,49
2020Q2,2020,Kerry,Theft,167
2020Q2,2020,Kildare,Assault,166
2020Q2,2020,Kildare,Burglary,65
2020Q2,2020,Kildare,Damage to Property,120
2020Q2,2020,Kildare,Drug Offences,217
2020Q2,2020,Kildare,Fraud,73
2020Q2,2020,Kildare,Theft,339
2020Q2,2020,Kilkenny,Assault,39
2020Q2,2020,Kilkenny,Burglary,20
2020Q2,2020,Kilkenny,Damage to Property,54
2020Q2,2020,Kilkenny,Drug Offences,81
2020Q2,2020,Kilkenny,Fraud,17
2020Q2,2020,Kilkenny,Theft,90
2020Q2,2020,Laois,Assault,90
2020Q2,2020,Laois,Burglary,32
2020Q2,2020,Laois,Damage to Property,88
2020Q2,2020,Laois,Drug Offences,97
2020Q2,2020,Laois,Fraud,30
2020Q2,2020,Laois,Theft,161
2020Q2,2020,Leitrim,Assault,38
2020Q2,2020,Leitrim,Burglary,14
2020Q2,2020,Leitrim,Damage to Property,44
2020Q2,2020,Leitrim,Drug Offences,64
2020Q2,2020,Leitrim,Fraud,12
2020Q2,2020,Leitrim,Theft,60
2020Q2,2020,Limerick,Assault,188
2020Q2,2020,Limerick,Burglary,113
2020Q2,2020,Limerick,Damage to Property,212
2020Q2,2020,Limerick,Drug Offences,281
2020Q2,2020,Limerick,Fraud,77
2020Q2,2020,Limerick,Theft,589
2020Q2,2020,Longford,Assault,54
2020Q2,2020,Longford,Burglary,11
2020Q2,2020,Longford,Damage to Property,31
2020Q2,2020,Longford,Drug Offences,34
2020Q2,2020,Longford,Fraud,21
2020Q2,2020,Longford,Theft,72
2020Q2,2020,Louth,Assault,194
2020Q2,2020,Louth,Burglary,84
2020Q2,2020,Louth,Damage to Property,207
2020Q2,2020,Louth,Drug Offences,297
2020Q2,2020,Louth,Fraud,66
2020Q2,2020,Louth,Theft,282
2020Q2,2020,Mayo,Assault,95
2020Q2,2020,Mayo,Burglary,21
2020Q2,2020,Mayo,Damage to Property,96
2020Q2,2020,Mayo,Drug Offences,89
2020Q2,2020,Mayo,Fraud,44
2020Q2,2020,Mayo,Theft,89
2020Q2,2020,Meath,Assault,141
2020Q2,2020,Meath,Burglary,56
2020Q2,2020,Meath,Damage to Property,108
2020Q2,2020,Meath,Drug Offences,154
2020Q2,2020,Meath,Fraud,96
2020Q2,2020,Meath,Theft,335
2020Q2,2020,Monaghan,Assault,82
2020Q2,2020,Monaghan,Burglary,19
2020Q2,2020,Monaghan,Damage to Property,63
2020Q2,2020,Monaghan,Drug Offences,72
2020Q2,2020,Monaghan,Fraud,28
2020Q2,2020,Monaghan,Theft,67
2020Q2,2020,Offaly,Assault,90
2020Q2,2020,Offaly,Burglary,32
2020Q2,2020,Offaly,Damage to Property,88
2020Q2,2020,Offaly,Drug Offences,97
2020Q2,2020,Offaly,Fraud,30
2020Q2,2020,Offaly,Theft,161
2020Q2,2020,Roscommon,Assault,54
2020Q2,2020,Roscommon,Burglary,11
2020Q2,2020,Roscommon,Damage to Property,31
2020Q2,2020,Roscommon,Drug Offences,34
2020Q2,2020,Roscommon,Fraud,21
2020Q2,2020,Roscommon,Theft,72
2020Q2,2020,Sligo,Assault,38
2020Q2,2020,Sligo,Burglary,14
2020Q2,2020,Sligo,Damage to Property,44
2020Q2,2020,Sligo,Drug Offences,64
2020Q2,2020,Sligo,Fraud,12
2020Q2,2020,Sligo,Theft,60
2020Q2,2020,Tipperary,Assault,138
2020Q2,2020,Tipperary,Burglary,35
2020Q2,2020,Tipperary,Damage to Property,109
2020Q2,2020,Tipperary,Drug Offences,244
2020Q2,2020,Tipperary,Fraud,42
2020Q2,2020,Tipperary,Theft,199
2020Q2,2020,Waterford,Assault,147
2020Q2,2020,Waterford,Burglary,43
2020Q2,2020,Waterford,Damage to Property,109
2020Q2,2020,Waterford,Drug Offences,185
2020Q2,2020,Waterford,Fraud,44
2020Q2,2020,Waterford,Theft,204
2020Q2,2020,Westmeath,Assault,87
2020Q2,2020,Westmeath,Burglary,28
2020Q2,2020,Westmeath,Damage to Property,85
2020Q2,2020,Westmeath,Drug Offences,112
2020Q2,2020,Westmeath,Fraud,38
2020Q2,2020,Westmeath,Theft,118
2020Q2,2020,Wexford,Assault,118
2020Q2,2020,Wexford,Burglary,81
2020Q2,2020,Wexford,Damage to Property,132
2020Q2,2020,Wexford,Drug Offences,95
2020Q2,2020,Wexford,Fraud,28
2020Q2,2020,Wexford,Theft,208
2020Q2,2020,Wicklow,Assault,79
2020Q2,2020,Wicklow,Burglary,43
2020Q2,2020,Wicklow,Damage to Property,110
2020Q2,2020,Wicklow,Drug Offences,234
2020Q2,2020,Wicklow,Fraud,47
2020Q2,2020,Wicklow,Theft,222
2020Q3,2020,Carlow,Assault,54
2020Q3,2020,Carlow,Burglary,30
2020Q3,2020,Carlow,Damage to Property,51
2020Q3,2020,Carlow,Drug Offences,88
2020Q3,2020,Carlow,Fraud,22
2020Q3,2020,Carlow,Theft,127
2020Q3,2020,Cavan,Assault,89
2020Q3,2020,Cavan,Burglary,26
2020Q3,2020,Cavan,Damage to Property,60
2020Q3,2020,Cavan,Drug Offences,72
2020Q3,2020,Cavan,Fraud,24
2020Q3,2020,Cavan,Theft,78
2020Q3,2020,Clare,Assault,84
2020Q3,2020,Clare,Burglary,39
2020Q3,2020,Clare,Damage to Property,132
2020Q3,2020,Clare,Drug Offences,116
2020Q3,2020,Clare,Fraud,39
2020Q3,2020,Clare,Theft,211
2020Q3,2020,Cork,Assault,521
2020Q3,2020,Cork,Burglary,161
2020Q3,2020,Cork,Damage to Property,472
2020Q3,2020,Cork,Drug Offences,714
2020Q3,2020,Cork,Fraud,187
2020Q3,2020,Cork,Theft,986
2020Q3,2020,Donegal,Assault,178
2020Q3,2020,Donegal,Burglary,26
2020Q3,2020,Donegal,Damage to Property,177
2020Q3,2020,Donegal,Drug Offences,133
2020Q3,2020,Donegal,Fraud,46
2020Q3,2020,Donegal,Theft,127
2020Q3,2020,Dublin,Assault,1787
2020Q3,2020,Dublin,Burglary,1309
2020Q3,2020,Dublin,Damage to Property,2152
2020Q3,2020,Dublin,Drug Offences,2306
2020Q3,2020,Dublin,Fraud,827
2020Q3,2020,Dublin,Theft,7747
2020Q3,2020,Galway,Assault,276
2020Q3,2020,Galway,Burglary,109
2020Q3,2020,Galway,Damage to Property,195
2020Q3,2020,Galway,Drug Offences,170
2020Q3,2020,Galway,Fraud,100
2020Q3,2020,Galway,Theft,449
2020Q3,2020,Kerry,Assault,194
2020Q3,2020,Kerry,Burglary,46
2020Q3,2020,Kerry,Damage to Property,102
2020Q3,2020,Kerry,Drug Offences,116
2020Q3,2020,Kerry,Fraud,53
2020Q3,2020,Kerry,Theft,185
2020Q3,2020,Kildare,Assault,167
2020Q3,2020,Kildare,Burglary,116
2020Q3,2020,Kildare,Damage to Property,176
2020Q3,2020,Kildare,Drug Offences,185
2020Q3,2020,Kildare,Fraud,65
2020Q3,2020,Kildare,Theft,486
2020Q3,2020,Kilkenny,Assault,54
2020Q3,2020,Kilkenny,Burglary,30
2020Q3,2020,Kilkenny,Damage to Property,51
2020Q3,2020,Kilkenny,Drug Offences,88
2020Q3,2020,Kilkenny,Fraud,22
2020Q3,2020,Kilkenny,Theft,127
2020Q3,2020,Laois,Assault,94
2020Q3,2020,Laois,Burglary,25
2020Q3,2020,Laois,Damage to Property,84
2020Q3,2020,Laois,Drug Offences,82
2020Q3,2020,Laois,Fraud,28
2020Q3,2020,Laois,Theft,136
2020Q3,2020,Leitrim,Assault,40
2020Q3,2020,Leitrim,Burglary,20
2020Q3,2020,Leitrim,Damage to Property,54
2020Q3,2020,Leitrim,Drug Offences,27
2020Q3,2020,Leitrim,Fraud,12
2020Q3,2020,Leitrim,Theft,72
2020Q3,2020,Limerick,Assault,210
2020Q3,2020,Limerick,Burglary,115
2020Q3,2020,Limerick,Damage to Property,215
2020Q3,2020,Limerick,Drug Offences,211
2020Q3,2020,Limerick,Fraud,69
2020Q3,2020,Limerick,Theft,693
2020Q3,2020,Longford,Assault,44
2020Q3,2020,Longford,Burglary,12
2020Q3,2020,Longford,Damage to Property,34
2020Q3,2020,Longford,Drug Offences,40
2020Q3,2020,Longford,Fraud,20
2020Q3,2020,Longford,Theft,81
2020Q3,2020,Louth,Assault,204
2020Q3,2020,Louth,Burglary,100
2020Q3,2020,Louth,Damage to Property,201
2020Q3,2020,Louth,Drug Offences,206
2020Q3,2020,Louth,Fraud,57
2020Q3,2020,Louth,Theft,378
2020Q3,2020,Mayo,Assault,110
2020Q3,2020,Mayo,Burglary,35
2020Q3,2020,Mayo,Damage to Property,83
2020Q3,2020,Mayo,Drug Offences,77
2020Q3,2020,Mayo,Fraud,37
2020Q3,2020,Mayo,Theft,148
2020Q3,2020,Meath,Assault,152
2020Q3,2020,Meath,Burglary,100
2020Q3,2020,Meath,Damage to Property,170
2020Q3,2020,Meath,Drug Offences,104
2020Q3,2020,Meath,Fraud,55
2020Q3,2020,Meath,Theft,514
2020Q3,2020,Monaghan,Assault,89
2020Q3,2020,Monaghan,Burglary,26
2020Q3,2020,Monaghan,Damage to Property,60
2020Q3,2020,Monaghan,Drug Offences,72
2020Q3,2020,Monaghan,Fraud,24
2020Q3,2020,Monaghan,Theft,78
2020Q3,2020,Offaly,Assault,94
2020Q3,2020,Offaly,Burglary,25
2020Q3,2020,Offaly,Damage to Property,84
2020Q3,2020,Offaly,Drug Offences,82
2020Q3,2020,Offaly,Fraud,28
2020Q3,2020,Offaly,Theft,136
2020Q3,2020,Roscommon,Assault,44
2020Q3,2020,Roscommon,Burglary,12
2020Q3,2020,Roscommon,Damage to Property,34
2020Q3,2020,Roscommon,Drug Offences,40
2020Q3,2020,Roscommon,Fraud,20
2020Q3,2020,Roscommon,Theft,81
2020Q3,2020,Sligo,Assault,40
2020Q3,2020,Sligo,Burglary,20
2020Q3,2020,Sligo,Damage to Property,54
2020Q3,2020,Sligo,Drug Offences,27
2020Q3,2020,Sligo,Fraud,12
2020Q3,2020,Sligo,Theft,72
2020Q3,2020,Tipperary,Assault,134
2020Q3,2020,Tipperary,Burglary,69
2020Q3,2020,Tipperary,Damage to Property,104
2020Q3,2020,Tipperary,Drug Offences,176
2020Q3,2020,Tipperary,Fraud,33
2020Q3,2020,Tipperary,Theft,286
2020Q3,2020,Waterford,Assault,212
2020Q3,2020,Waterford,Burglary,50
2020Q3,2020,Waterford,Damage to Property,183
2020Q3,2020,Waterford,Drug Offences,182
2020Q3,2020,Waterford,Fraud,47
2020Q3,2020,Waterford,Theft,329
2020Q3,2020,Westmeath,Assault,122
2020Q3,2020,Westmeath,Burglary,31
2020Q3,2020,Westmeath,Damage to Property,86
2020Q3,2020,Westmeath,Drug Offences,87
2020Q3,2020,Westmeath,Fraud,35
2020Q3,2020,Westmeath,Theft,171
2020Q3,2020,Wexford,Assault,147
2020Q3,2020,Wexford,Burglary,89
2020Q3,2020,Wexford,Damage to Property,137
2020Q3,2020,Wexford,Drug Offences,109
2020Q3,2020,Wexford,Fraud,53
2020Q3,2020,Wexford,Theft,262
2020Q3,2020,Wicklow,Assault,102
2020Q3,2020,Wicklow,Burglary,117
2020Q3,2020,Wicklow,Damage to Property,153
2020Q3,2020,Wicklow,Drug Offences,154
2020Q3,2020,Wicklow,Fraud,46
2020Q3,2020,Wicklow,Theft,404
2020Q4,2020,Carlow,Assault,68
2020Q4,2020,Carlow,Burglary,27
2020Q4,2020,Carlow,Damage to Property,50
2020Q4,2020,Carlow,Drug Offences,81
2020Q4,2020,Carlow,Fraud,24
2020Q4,2020,Carlow,Theft,90
2020Q4,2020,Cavan,Assault,80
2020Q4,2020,Cavan,Burglary,20
2020Q4,2020,Cavan,Damage to Property,71
2020Q4,2020,Cavan,Drug Offences,52
2020Q4,2020,Cavan,Fraud,30
2020Q4,2020,Cavan,Theft,64
2020Q4,2020,Clare,Assault,51
2020Q4,2020,Clare,Burglary,46
2020Q4,2020,Clare,Damage to Property,103
2020Q4,2020,Clare,Drug Offences,83
2020Q4,2020,Clare,Fraud,37
2020Q4,2020,Clare,Theft,164
2020Q4,2020,Cork,Assault,494
2020Q4,2020,Cork,Burglary,93
2020Q4,2020,Cork,Damage to Property,380
2020Q4,2020,Cork,Drug Offences,663
2020Q4,2020,Cork,Fraud,129
2020Q4,2020,Cork,Theft,793
2020Q4,2020,Donegal,Assault,158
2020Q4,2020,Donegal,Burglary,28
2020Q4,2020,Donegal,Damage to Property,123
2020Q4,2020,Donegal,Drug Offences,143
2020Q4,2020,Donegal,Fraud,53
2020Q4,2020,Donegal,Theft,131
2020Q4,2020,Dublin,Assault,1542
2020Q4,2020,Dublin,Burglary,1268
2020Q4,2020,Dublin,Damage to Property,1935
2020Q4,2020,Dublin,Drug Offences,2094
2020Q4,2020,Dublin,Fraud,767
2020Q4,2020,Dublin,Theft,6409
2020Q4,2020,Galway,Assault,204
2020Q4,2020,Galway,Burglary,77
2020Q4,2020,Galway,Damage to Property,167
2020Q4,2020,Galway,Drug Offences,107
2020Q4,2020,Galway,Fraud,85
2020Q4,2020,Galway,Theft,343
2020Q4,2020,Kerry,Assault,121
2020Q4,2020,Kerry,Burglary,50
2020Q4,2020,Kerry,Damage to Property,89
2020Q4,2020,Kerry,Drug Offences,120
2020Q4,2020,Kerry,Fraud,47
2020Q4,2020,Kerry,Theft,173
2020Q4,2020,Kildare,Assault,175
2020Q4,2020,Kildare,Burglary,101
2020Q4,2020,Kildare,Damage to Property,146
2020Q4,2020,Kildare,Drug Offences,193
2020Q4,2020,Kildare,Fraud,84
2020Q4,2020,Kildare,Theft,355
2020Q4,2020,Kilkenny,Assault,68
2020Q4,2020,Kilkenny,Burglary,27
2020Q4,2020,Kilkenny,Damage to Property,50
2020Q4,2020,Kilkenny,Drug Offences,81
2020Q4,2020,Kilkenny,Fraud,24
2020Q4,2020,Kilkenny,Theft,90
2020Q4,2020,Laois,Assault,77
2020Q4,2020,Laois,Burglary,28
2020Q4,2020,Laois,Damage to Property,72
2020Q4,2020,Laois,Drug Offences,94
2020Q4,2020,Laois,Fraud,28
2020Q4,2020,Laois,Theft,124
2020Q4,2020,Leitrim,Assault,40
2020Q4,2020,Leitrim,Burglary,13
2020Q4,2020,Leitrim,Damage to Property,30
2020Q4,2020,Leitrim,Drug Offences,38
2020Q4,2020,Leitrim,Fraud,16
2020Q4,2020,Leitrim,Theft,47
2020Q4,2020,Limerick,Assault,203
2020Q4,2020,Limerick,Burglary,120
2020Q4,2020,Limerick,Damage to Property,282
2020Q4,2020,Limerick,Drug Offences,210
2020Q4,2020,Limerick,Fraud,75
2020Q4,2020,Limerick,Theft,621
2020Q4,2020,Longford,Assault,32
2020Q4,2020,Longford,Burglary,14
2020Q4,2020,Longford,Damage to Property,39
2020Q4,2020,Longford,Drug Offences,34
2020Q4,2020,Longford,Fraud,23
2020Q4,2020,Longford,Theft,64
2020Q4,2020,Louth,Assault,157
2020Q4,2020,Louth,Burglary,73
2020Q4,2020,Louth,Damage to Property,177
2020Q4,2020,Louth,Drug Offences,197
2020Q4,2020,Louth,Fraud,50
2020Q4,2020,Louth,Theft,305
2020Q4,2020,Mayo,Assault,77
2020Q4,2020,Mayo,Burglary,25
2020Q4,2020,Mayo,Damage to Property,68
2020Q4,2020,Mayo,Drug Offences,72
2020Q4,2020,Mayo,Fraud,38
2020Q4,2020,Mayo,Theft,142
2020Q4,2020,Meath,Assault,136
2020Q4,2020,Meath,Burglary,88
2020Q4,2020,Meath,Damage to Property,170
2020Q4,2020,Meath,Drug Offences,146
2020Q4,2020,Meath,Fraud,59
2020Q4,2020,Meath,Theft,361
2020Q4,2020,Monaghan,Assault,80
2020Q4,2020,Monaghan,Burglary,20
2020Q4,2020,Monaghan,Damage to Property,71
2020Q4,2020,Monaghan,Drug Offences,52
2020Q4,2020,Monaghan,Fraud,30
2020Q4,2020,Monaghan,Theft,64
2020Q4,2020,Offaly,Assault,77
2020Q4,2020,Offaly,Burglary,28
2020Q4,2020,Offaly,Damage to Property,72
2020Q4,2020,Offaly,Drug Offences,94
2020Q4,2020,Offaly,Fraud,28
2020Q4,2020,Offaly,Theft,124
2020Q4,2020,Roscommon,Assault,32
2020Q4,2020,Roscommon,Burglary,14
2020Q4,2020,Roscommon,Damage to Property,39
2020Q4,2020,Roscommon,Drug Offences,34
2020Q4,2020,Roscommon,Fraud,23
2020Q4,2020,Roscommon,Theft,64
2020Q4,2020,Sligo,Assault,40
2020Q4,2020,Sligo,Burglary,13
2020Q4,2020,Sligo,Damage to Property,30
2020Q4,2020,Sligo,Drug Offences,38
2020Q4,2020,Sligo,Fraud,16
2020Q4,2020,Sligo,Theft,47
2020Q4,2020,Tipperary,Assault,142
2020Q4,2020,Tipperary,Burglary,72
2020Q4,2020,Tipperary,Damage to Property,126
2020Q4,2020,Tipperary,Drug Offences,167
2020Q4,2020,Tipperary,Fraud,37
2020Q4,2020,Tipperary,Theft,235
2020Q4,2020,Waterford,Assault,118
2020Q4,2020,Waterford,Burglary,47
2020Q4,2020,Waterford,Damage to Property,172
2020Q4,2020,Waterford,Drug Offences,243
2020Q4,2020,Waterford,Fraud,65
2020Q4,2020,Waterford,Theft,213
2020Q4,2020,Westmeath,Assault,84
2020Q4,2020,Westmeath,Burglary,31
2020Q4,2020,Westmeath,Damage to Property,86
2020Q4,2020,Westmeath,Drug Offences,90
2020Q4,2020,Westmeath,Fraud,30
2020Q4,2020,Westmeath,Theft,163
2020Q4,2020,Wexford,Assault,138
2020Q4,2020,Wexford,Burglary,78
2020Q4,2020,Wexford,Damage to Property,121
2020Q4,2020,Wexford,Drug Offences,117
2020Q4,2020,Wexford,Fraud,37
2020Q4,2020,Wexford,Theft,191
2020Q4,2020,Wicklow,Assault,110
2020Q4,2020,Wicklow,Burglary,55
2020Q4,2020,Wicklow,Damage to Property,109
2020Q4,2020,Wicklow,Drug Offences,126
2020Q4,2020,Wicklow,Fraud,51
2020Q4,2020,Wicklow,Theft,266
2021Q1,2021,Carlow,Assault,40
2021Q1,2021,Carlow,Burglary,28
2021Q1,2021,Carlow,Damage to Property,42
2021Q1,2021,Carlow,Drug Offences,88
2021Q1,2021,Carlow,Fraud,41
2021Q1,2021,Carlow,Theft,81
2021Q1,2021,Cavan,Assault,64
2021Q1,2021,Cavan,Burglary,18
2021Q1,2021,Cavan,Damage to Property,63
2021Q1,2021,Cavan,Drug Offences,51
2021Q1,2021,Cavan,Fraud,48
2021Q1,2021,Cavan,Theft,74
2021Q1,2021,Clare,Assault,97
2021Q1,2021,Clare,Burglary,30
2021Q1,2021,Clare,Damage to Property,98
2021Q1,2021,Clare,Drug Offences,73
2021Q1,2021,Clare,Fraud,72
2021Q1,2021,Clare,Theft,168
2021Q1,2021,Cork,Assault,435
2021Q1,2021,Cork,Burglary,88
2021Q1,2021,Cork,Damage to Property,385
2021Q1,2021,Cork,Drug Offences,876
2021Q1,2021,Cork,Fraud,309
2021Q1,2021,Cork,Theft,607
2021Q1,2021,Donegal,Assault,153
2021Q1,2021,Donegal,Burglary,27
2021Q1,2021,Donegal,Damage to Property,123
2021Q1,2021,Donegal,Drug Offences,158
2021Q1,2021,Donegal,Fraud,92
2021Q1,2021,Donegal,Theft,107
2021Q1,2021,Dublin,Assault,1462
2021Q1,2021,Dublin,Burglary,840
2021Q1,2021,Dublin,Damage to Property,1828
2021Q1,2021,Dublin,Drug Offences,2299
2021Q1,2021,Dublin,Fraud,1417
2021Q1,2021,Dublin,Theft,5314
2021Q1,2021,Galway,Assault,171
2021Q1,2021,Galway,Burglary,76
2021Q1,2021,Galway,Damage to Property,145
2021Q1,2021,Galway,Drug Offences,139
2021Q1,2021,Galway,Fraud,188
2021Q1,2021,Galway,Theft,287
2021Q1,2021,Kerry,Assault,120
2021Q1,2021,Kerry,Burglary,14
2021Q1,2021,Kerry,Damage to Property,72
2021Q1,2021,Kerry,Drug Offences,132
2021Q1,2021,Kerry,Fraud,83
2021Q1,2021,Kerry,Theft,177
2021Q1,2021,Kildare,Assault,159
2021Q1,2021,Kildare,Burglary,92
2021Q1,2021,Kildare,Damage to Property,124
2021Q1,2021,Kildare,Drug Offences,204
2021Q1,2021,Kildare,Fraud,139
2021Q1,2021,Kildare,Theft,318
2021Q1,2021,Kilkenny,Assault,40
2021Q1,2021,Kilkenny,Burglary,28
